ID,Plot,State,Dom_SPP,Focal_SPP,Transplant,Type,PSF,Census,Date,Surv1,Height,Leaves,Tiller,Long,Short,Surv2,logMass.harv,logMass.both
51,55,S,BOER,BOER,BOER,Sterile,Sterile,1,27-Aug-14,1,3.8,2,1,,,1,-0.7407594,-0.935925866
52,55,S,BOER,BOGR,BOER,Live,Away,1,27-Aug-14,1,4.3,10,2,,,1,-0.6902179,-0.873746901
53,55,S,BOER,BOGR,BOGR,Live,Home,1,27-Aug-14,1,8.2,6,1,,,1,-0.524486,-0.632952
54,55,S,BOER,BOGR,BOGR,Sterile,Sterile,1,27-Aug-14,1,22.3,21,4,,,1,-0.020609,-0.860688
55,56,D,NA,BOER,BOGR,Live,Away,1,27-Aug-14,1,7.6,10,2,,,1,-0.442758,-0.561206
56,56,D,NA,BOER,BOER,Live,Home,1,27-Aug-14,1,14.1,9,2,,,1,0.1518667,-0.874355187
57,56,D,NA,BOER,BOER,Sterile,Sterile,1,27-Aug-14,1,13.8,14,3,,,1,0.1336666,-0.812126566
58,56,D,NA,BOGR,BOER,Live,Away,1,27-Aug-14,1,6.8,6,1,,,1,-0.4829784,-0.936112076
59,56,D,NA,BOGR,BOGR,Live,Home,1,27-Aug-14,1,23.8,33,8,,,1,0.369756,-0.682358
60,56,D,NA,BOGR,BOGR,Sterile,Sterile,1,27-Aug-14,1,16.7,30,6,,,1,0.071259,-0.594612
61,59,D,NA,BOER,BOGR,Live,Away,1,27-Aug-14,1,11.1,7,1,,,1,-0.477303,-0.713746
62,59,D,NA,BOER,BOER,Live,Home,1,27-Aug-14,0,,,,,,0,-1.07486,-0.9979
63,59,D,NA,BOER,BOER,Sterile,Sterile,1,27-Aug-14,1,7.1,9,2,,,1,-0.4496223,-0.873920697
64,59,D,NA,BOGR,BOER,Live,Away,1,27-Aug-14,1,9.8,5,1,,,1,-0.2251974,-0.936298286
65,59,D,NA,BOGR,BOGR,Live,Home,1,27-Aug-14,1,12.1,11,2,,,1,-0.369543,-0.686576
66,59,D,NA,BOGR,BOGR,Sterile,Sterile,1,27-Aug-14,1,3.8,3,1,,,1,-0.596074,-0.510368
67,61,S,BOGR,BOER,BOGR,Live,Away,1,27-Aug-14,1,17.6,58,10,,,1,0.451862,-0.399566
68,61,S,BOGR,BOER,BOER,Live,Home,1,27-Aug-14,0,,,,,,0,-1.07486,-0.9979
69,61,S,BOGR,BOER,BOER,Sterile,Sterile,1,27-Aug-14,0,,,,,,0,-1.07486,-0.9979
70,61,S,BOGR,BOGR,BOER,Live,Away,1,27-Aug-14,1,7.8,12,1,,,1,-0.3970514,-0.936174146
71,61,S,BOGR,BOGR,BOGR,Live,Home,1,27-Aug-14,1,18.5,7,1,,,1,-0.356905,-0.91991
72,61,S,BOGR,BOGR,BOGR,Sterile,Sterile,1,27-Aug-14,0,,,,,,0,-0.74939,-0.45953
73,67,D,NA,BOER,BOGR,Live,Away,1,27-Aug-14,1,7.1,6,2,,,1,-0.450893,-0.547276
74,67,D,NA,BOER,BOER,Live,Home,1,27-Aug-14,0,,,,,,0,-1.07486,-0.9979
