ID,Plot,InocSPP,State,Block,Day,BOERgerm,BOERdeath,BOGRgerm,BOGRdeath
23 BOGR,23,BOGR,S,1,10,0.1,0,0.7,0
34 BOER,34,BOER,S,2,10,0.5,0,0.5,0
34 BOGR,34,BOGR,S,2,10,0.4,0,0.6,0
36 BOER,36,BOER,D,2,10,0.2,0,0.5,0.1
36 BOGR,36,BOGR,D,2,10,0.2,0,0.5,0
49 BOER,49,BOER,D,3,10,0.5,0,0.4,0
49 BOGR,49,BOGR,D,3,10,0.1,0,0.8,0
50 BOER,50,BOER,S,3,10,0.3,0,0.3,0
50 BOGR,50,BOGR,S,3,10,0,0,0.6,0
53 BOGR,53,BOGR,S,4,10,0.1,0,0.7,0
53 BOER,53,BOER,S,4,10,0.1,0,0.7,0
52 BOGR,52,BOGR,D,4,10,0,0,0.4,0
52 BOER,52,BOER,D,4,10,0.1,0,0.7,0
55 BOER,55,BOER,S,5,10,0.3,0,0.4,0
55 BOGR,55,BOGR,S,5,10,0.3,0,0.6,0
56 BOER,56,BOER,D,5,10,0.4,0,0.6,0
56 BOGR,56,BOGR,D,5,10,0.2,0,0.8,0
59 BOER,59,BOER,D,6,10,0.1,0,0.6,0
59 BOGR,59,BOGR,D,6,10,0,0,0.5,0
61 BOER,61,BOER,S,6,10,0.2,0,0.3,0
61 BOGR,61,BOGR,S,6,10,0.3,0,0.5,0.1
67 BOER,67,BOER,D,7,10,0.2,0,0.5,0
67 BOGR,67,BOGR,D,7,10,0.3,0,0.4,0
69 BOER,69,BOER,S,7,10,0.7,0,0.5,0
69 BOGR,69,BOGR,S,7,10,0.2,0,0.7,0
77 BOER,77,BOER,D,8,10,0.3,0,0.9,0
77 BOGR,77,BOGR,D,8,10,0.2,0,0.8,0
79 BOER,79,BOER,S,8,10,0.5,0,0.7,0
79 BOGR,79,BOGR,S,8,10,0.4,0,0.6,0
89 BOER,89,BOER,D,9,10,0.2,0,0.4,0
89 BOGR,89,BOGR,D,9,10,0.2,0,0.8,0
90 BOER,90,BOER,S,9,10,0.5,0,0.5,0
90 BOGR,90,BOGR,S,9,10,0.3,0,0.8,0
93 BOER,93,BOER,D,10,10,0.5,0,0.7,0
93 BOGR,93,BOGR,D,10,10,0.3,0,0.6,0
95 BOER,95,BOER,S,10,10,0.2,0,0.5,0
95 BOGR,95,BOGR,S,10,10,0.3,0,0.6,0
19 BOER,19,BOER,D,1,14,0.1,0,0.5,0
19 BOGR,19,BOGR,D,1,14,0,0.2,0.5,0.1
23 BOER,23,BOER,S,1,14,0.3,0,0.5,0
23 BOGR,23,BOGR,S,1,14,0.1,0,0.8,0
34 BOER,34,BOER,S,2,14,0.5,0,0.5,0
34 BOGR,34,BOGR,S,2,14,0.3,0.1,0.6,0
36 BOER,36,BOER,D,2,14,0.2,0,0.5,0
36 BOGR,36,BOGR,D,2,14,0.2,0,0.5,0
49 BOER,49,BOER,D,3,14,0.5,0,0.3,0
49 BOGR,49,BOGR,D,3,14,0.1,0,0.8,0
50 BOER,50,BOER,S,3,14,0.3,0,0.3,0
50 BOGR,50,BOGR,S,3,14,0,0,0.6,0
53 BOGR,53,BOGR,S,4,14,0.1,0,0.3,0.1
53 BOER,53,BOER,S,4,14,0,0,0.3,0.1
52 BOGR,52,BOGR,D,4,14,0.1,0,0.6,0
52 BOER,52,BOER,D,4,14,0.1,0,0.7,0
55 BOER,55,BOER,S,5,14,0.3,0,0.4,0
55 BOGR,55,BOGR,S,5,14,0.3,0,0.6,0
56 BOER,56,BOER,D,5,14,0.2,0,0.6,0
56 BOGR,56,BOGR,D,5,14,0.2,0,0.7,0.1
59 BOER,59,BOER,D,6,14,0.1,0,0.4,0
59 BOGR,59,BOGR,D,6,14,0,0,0.5,0.1
61 BOER,61,BOER,S,6,14,0.1,0,0.3,0
61 BOGR,61,BOGR,S,6,14,0.2,0,0.5,0
67 BOER,67,BOER,D,7,14,0.2,0,0.8,0
67 BOGR,67,BOGR,D,7,14,0.2,0.1,0.3,0.1
69 BOER,69,BOER,S,7,14,0.7,0,0.3,0.1
69 BOGR,69,BOGR,S,7,14,0.2,0,0.3,0.3
77 BOER,77,BOER,D,8,14,0.3,0,0.9,0
77 BOGR,77,BOGR,D,8,14,0.3,0,0.8,0
79 BOER,79,BOER,S,8,14,0.3,0.2,0.7,0
79 BOGR,79,BOGR,S,8,14,0.4,0,0.6,0
89 BOER,89,BOER,D,9,14,0.2,0,0.4,0
89 BOGR,89,BOGR,D,9,14,0.2,0,0.8,0
90 BOER,90,BOER,S,9,14,0.4,0.1,0.5,0
90 BOGR,90,BOGR,S,9,14,0.2,0.1,0.8,0
93 BOER,93,BOER,D,10,14,0.4,0,0.7,0
93 BOGR,93,BOGR,D,10,14,0.2,0.1,0.7,0
95 BOER,95,BOER,S,10,14,0.2,0,0.4,0.1
95 BOGR,95,BOGR,S,10,14,0.4,0,0.6,0
19 BOER,19,BOER,D,1,17,0.1,0,0.3,0.2
19 BOGR,19,BOGR,D,1,17,0,NA,0.4,0.2
23 BOER,23,BOER,S,1,17,0.3,0,0.4,0.1
23 BOGR,23,BOGR,S,1,17,0,0.1,0.7,0.1
34 BOER,34,BOER,S,2,17,0.5,0,0.5,0
34 BOGR,34,BOGR,S,2,17,0.1,0.3,0.4,0.2
36 BOER,36,BOER,D,2,17,0,0.2,0.4,0.1
