ID,Plot,State,Dom_SPP,Focal_SPP,Transplant,Type,Germ_160817,germtot_160817,Germ_160825,germtot_160825,Germ_160908,germtot_160908,Germ_161003,germtot_161003,PSF,Block,maxgerm,surv2017,mort2017,newGerm2017,surv.rate
94,79,S,BOER,BOGR,BOER,Live,0,0,0,0,0,0,0,0,Away,8,0,0,0,0,
97,89,D,NA,BOER,BOGR,Live,1,1,2,2,2,2,1,2,Away,9,2,1,0,0,0.5
98,89,D,NA,BOER,BOER,Live,1,1,0,0,0,0,0,0,Home,9,1,0,0,0,0
99,89,D,NA,BOER,BOER,Sterile,0,0,0,0,0,0,0,0,Sterile,9,0,0,0,0,
100,89,D,NA,BOGR,BOER,Live,0,0,1,1,1,1,1,1,Away,9,1,1,0,0,1
101,89,D,NA,BOGR,BOGR,Live,4,4,4,4,3,3,2,2,Home,9,4,1,1,0,0.25
102,89,D,NA,BOGR,BOGR,Sterile,2,2,2,2,2,2,2,3,Sterile,9,2,2,0,0,1
103,90,S,BOER,BOER,BOGR,Live,0,0,0,0,0,0,0,0,Away,9,0,0,0,0,
104,90,S,BOER,BOER,BOER,Live,0,0,0,0,1,1,0,0,Home,9,1,0,0,0,0
105,90,S,BOER,BOER,BOER,Sterile,1,1,1,1,1,1,1,1,Sterile,9,1,1,0,0,1
106,90,S,BOER,BOGR,BOER,Live,0,0,0,0,0,0,0,0,Away,9,0,0,0,0,
107,90,S,BOER,BOGR,BOGR,Live,2,2,3,3,1,1,1,1,Home,9,3,0,0,0,0
108,90,S,BOER,BOGR,BOGR,Sterile,0,0,1,1,0,0,0,0,Sterile,9,1,0,0,0,0
109,93,D,NA,BOER,BOGR,Live,6,6,6,6,6,6,4,6,Away,10,6,3,0,0,0.5
110,93,D,NA,BOER,BOER,Live,0,0,0,0,0,0,0,0,Home,10,0,0,0,0,
111,93,D,NA,BOER,BOER,Sterile,0,0,0,0,0,0,0,0,Sterile,10,0,0,0,0,
112,93,D,NA,BOGR,BOER,Live,1,2,1,1,1,1,1,1,Away,10,2,0,0,0,0
113,93,D,NA,BOGR,BOGR,Live,4,4,5,5,4,5,1,5,Home,10,5,0,1,0,0
114,93,D,NA,BOGR,BOGR,Sterile,2,2,2,2,1,1,0,0,Sterile,10,2,0,0,0,0
115,95,S,BOER,BOER,BOGR,Live,1,1,3,3,2,2,2,2,Away,10,3,1,0,0,0.333333333
116,95,S,BOER,BOER,BOER,Live,0,0,0,0,0,0,0,0,Home,10,0,0,0,0,
118,95,S,BOER,BOGR,BOER,Live,0,0,0,0,0,0,0,0,Away,10,0,0,0,0,
120,95,S,BOER,BOGR,BOGR,Sterile,0,0,2,2,3,3,2,3,Sterile,10,3,0,0,0,0
